,Chained 2012 Value (millions of dollars),,,,,,,Chained 2012 Value Percent Change,,,,,,,Current Value (millions of dollars),,,,,,,Current Value Percent Change,,,,,,,Tons (thousands),,,,,,,Tons Percent Change,,,,,,,Ton Miles (millions),,,,,,,Ton Miles Percent Change,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018
Alabama,"254,678","254,973","262,113","267,676","270,952","271,894","279,873",,0.001161854,0.028002835,0.021221945,0.012239687,0.003477214,0.029345886,"254,678","257,684","270,579","261,466","259,459","271,079","289,624",,0.011806375,0.050039421,-0.033677845,-0.007677787,0.044787792,0.068411773,"324,980","317,167","328,370","335,793","340,229","342,844","359,791",,-0.024041245,0.035319866,0.022608003,0.013208682,0.007687119,0.049431169,"82,798","82,026","86,045","88,179","86,849","88,328","92,197",,-0.009316224,0.048994611,0.024802068,-0.01508514,0.01702808,0.043799189
Alaska,"69,774","65,554","70,364","71,921","71,610","72,279","72,595",,-0.060482508,0.073369346,0.022135401,-0.004326716,0.009340335,0.004372958,"69,774","66,362","69,321","53,225","49,341","54,763","61,472",,-0.048903923,0.044591214,-0.232189777,-0.072973868,0.109870746,0.122520529,"81,011","78,511","78,539","78,249","75,473","75,152","74,717",,-0.030862765,0.000361699,-0.003694067,-0.035472151,-0.004254885,-0.005793918,"115,567","114,751","112,469","109,126","107,426","106,308","103,113",,-0.007056485,-0.019888405,-0.029724423,-0.015584277,-0.010407004,-0.030045512
Arizona,"187,589","191,561","194,236","195,739","193,994","190,836","195,643",,0.021177336,0.013959879,0.007741872,-0.008916427,-0.016281498,0.025189478,"187,589","193,620","199,882","196,695","194,695","197,634","208,668",,0.032148803,0.032343247,-0.015944097,-0.01016959,0.01509908,0.055829682,"172,250","170,709","176,977","178,895","177,866","176,085","182,582",,-0.008950112,0.036717948,0.010837012,-0.005749937,-0.010011048,0.036893495,"41,181","41,806","43,743","43,195","41,396","40,395","41,384",,0.015166161,0.046341507,-0.012528759,-0.0416424,-0.024183656,0.024478593
Arkansas,"149,443","150,788","151,100","147,210","146,981","148,777","153,578",,0.009004311,0.002064702,-0.025741249,-0.001555208,0.012217006,0.032268646,"149,443","152,645","157,124","142,013","136,883","144,380","153,361",,0.021430303,0.029339899,-0.096170923,-0.036123553,0.054770946,0.06220161,"237,889","238,570","240,786","225,306","226,112","226,103","235,483",,0.002860231,0.00928928,-0.064290258,0.003581091,-3.92654E-05,0.041484814,"60,945","62,199","61,965","56,832","55,337","55,927","57,810",,0.020574449,-0.003762837,-0.082840021,-0.026289443,0.010651637,0.033663744
California,"2,014,266","2,044,520","2,079,056","2,084,382","2,077,562","2,117,995","2,178,434",,0.015019547,0.016892217,0.002561715,-0.003271886,0.019461577,0.028536,"2,014,266","2,062,316","2,118,265","2,030,120","2,002,354","2,093,092","2,224,253",,0.023854718,0.027129083,-0.04161155,-0.01367702,0.04531564,0.062663732,"1,102,935","1,144,298","1,165,710","1,186,517","1,195,574","1,213,873","1,229,053",,0.037502231,0.018712356,0.017849381,0.007633113,0.015305177,0.012505572,"298,555","342,569","355,717","353,193","349,679","357,864","349,008",,0.147422821,0.038381719,-0.007096662,-0.009948332,0.023406613,-0.024746659
Colorado,"196,777","197,344","202,560","202,510","202,658","205,755","213,256",,0.002878922,0.026431975,-0.000247832,0.000730292,0.01528612,0.036452141,"196,777","199,716","208,042","192,404","188,164","197,760","212,123",,0.014936873,0.041688779,-0.075169945,-0.022033304,0.050996667,0.072628721,"299,318","305,560","323,655","317,583","319,826","326,385","339,883",,0.020853172,0.059219678,-0.018761822,0.007064317,0.020507347,0.041357315,"83,615","81,599","84,011","81,503","79,342","81,695","85,969",,-0.024111486,0.0295522,-0.029843373,-0.026519769,0.02965892,0.052309513
Connecticut,"209,780","210,623","212,978","212,433","207,924","205,269","211,024",,0.004016115,0.011183324,-0.002559083,-0.021225755,-0.012770099,0.028035698,"209,780","212,304","217,932","205,268","197,880","202,878","216,304",,0.01203321,0.026504957,-0.058106326,-0.035991829,0.025254312,0.066179717,"120,441","116,969","119,071","121,026","120,303","117,868","120,122",,-0.028830876,0.01797013,0.016418773,-0.005971839,-0.020237229,0.019121085,"26,460","26,348","25,963","26,624","26,059","25,478","25,673",,-0.004226304,-0.014630458,0.025477801,-0.021225056,-0.022299436,0.007670329
Delaware,"55,271","53,148","51,946","53,860","53,145","52,374","52,991",,-0.038411895,-0.022621955,0.036847789,-0.013266927,-0.014508265,0.011779483,"55,271","53,614","52,909","49,313","47,135","49,541","53,479",,-0.029976577,-0.01315082,-0.06795766,-0.04417233,0.05103761,0.079498188,"50,702","43,899","42,162","45,203","48,571","47,607","47,487",,-0.134167719,-0.039574425,0.072135194,0.074507649,-0.019850214,-0.002520828,"4,659","4,728","4,612","4,692","4,939","5,616","5,491",,0.014746191,-0.024470697,0.017480808,0.05256124,0.137140727,-0.022371778
District of Columbia,"6,426","12,513","11,661","12,629","13,210","12,194","14,689",,0.947323039,-0.06806579,0.083026309,0.04600954,-0.07695553,0.204673246,"6,426","12,603","11,959","12,538","13,310","12,839","15,872",,0.961368709,-0.051086978,0.04840549,0.061596721,-0.035376089,0.236208064,"5,626","6,293","5,603","6,336","6,602","6,709","7,131",,0.118519961,-0.109597343,0.130806907,0.041879702,0.016270785,0.062908644,759,958,763,"1,044","1,161","1,024","1,374",,0.261467131,-0.203642687,0.368135885,0.112714183,-0.118567722,0.342525313
Florida,"577,191","568,476","567,831","571,616","569,835","572,960","582,705",,-0.015099863,-0.001134325,0.006664832,-0.003115454,0.005485238,0.017007862,"577,191","573,023","579,185","555,256","546,956","568,851","600,778",,-0.00722237,0.010753515,-0.041314419,-0.01494773,0.040030833,0.056124671,"563,750","599,063","618,793","659,854","689,669","689,805","712,820",,0.062639733,0.032935704,0.066356358,0.045183842,0.000196873,0.033364999,"99,315","110,317","111,924","112,882","114,238","114,557","117,468",,0.110787626,0.014561113,0.008566078,0.012009932,0.002787803,0.025417834
Georgia,"526,852","528,043","544,439","552,200","542,816","551,266","572,725",,0.00226161,0.03104947,0.014255734,-0.016993813,0.015566165,0.03892759,"526,852","533,775","560,088","550,939","535,485","559,079","598,326",,0.013140445,0.049297149,-0.016336126,-0.028049356,0.044061034,0.070198375,"382,243","378,686","388,765","393,377","406,010","409,554","427,128",,-0.009304609,0.026616333,0.011862808,0.032114557,0.008728601,0.042910116,"82,562","85,700","88,293","88,597","89,466","90,626","94,699",,0.038004804,0.030252255,0.003440131,0.00981447,0.012963431,0.044944097
Hawaii,"30,218","30,537","31,460","32,847","31,160","31,949","31,584",,0.010542873,0.030220812,0.044095032,-0.051362167,0.025315574,-0.011424757,"30,218","30,590","31,134","26,751","23,871","26,119","28,472",,0.012303287,0.01777277,-0.140762045,-0.107672879,0.094180973,0.090073152,"43,622","44,063","44,608","43,236","43,740","44,284","43,626",,0.010118375,0.01238078,-0.030767407,0.011648012,0.012443559,-0.014855995,"4,015","4,225","4,562","4,626","4,532","7,804","6,848",,0.052445815,0.079625645,0.014032715,-0.020253932,0.721851844,-0.122441873
Idaho,"60,741","60,164","59,532","58,253","59,155","58,715","61,308",,-0.00949522,-0.010510783,-0.021491591,0.015489017,-0.007435724,0.044163234,"60,741","60,703","60,929","55,776","55,123","56,338","60,470",,-0.000623002,0.003722635,-0.084582455,-0.01169876,0.02204184,0.073332734,"117,662","108,237","108,277","108,474","111,354","111,454","118,044",,-0.080104247,0.000365048,0.001826386,0.026541707,0.000905246,0.059124654,"44,935","45,128","44,977","44,395","44,509","44,875","47,339",,0.004284734,-0.003346288,-0.01292784,0.002557615,0.008228487,0.054901974
Illinois,"1,019,064","1,019,943","1,042,146","1,027,975","1,024,424","1,042,826","1,072,416",,0.000862422,0.021768774,-0.013597529,-0.003454323,0.017962789,0.028374538,"1,019,064","1,022,470","1,046,227","966,345","941,232","998,225","1,074,236",,0.003341621,0.023235249,-0.076351965,-0.025987676,0.060551586,0.076145653,"797,520","858,269","899,328","873,622","869,036","869,573","900,532",,0.076172422,0.047838932,-0.028583068,-0.005249924,0.000618851,0.035602471,"205,415","215,667","221,320","218,046","217,703","215,818","216,505",,0.049906021,0.026213874,-0.014793974,-0.001569732,-0.00866028,0.003184077
Indiana,"442,305","454,334","466,340","459,109","458,439","465,225","477,815",,0.027194451,0.026427251,-0.015505965,-0.00146104,0.014804406,0.02706155,"442,305","454,992","469,054","440,776","431,265","453,355","484,035",,0.028684063,0.030904686,-0.060287028,-0.021577929,0.051222349,0.067671211,"418,659","448,381","459,561","441,292","444,275","450,717","459,818",,0.070995086,0.024932633,-0.039752278,0.006760204,0.014499447,0.02019253,"89,559","98,472","100,656","95,697","98,777","98,749","100,440",,0.099518816,0.022187625,-0.049271276,0.03218016,-0.000282705,0.017125929
Iowa,"241,105","244,879","252,768","253,454","256,395","256,894","262,333",,0.015652014,0.032218401,0.002710452,0.011605334,0.001948223,0.021168514,"241,105","245,878","252,541","239,329","231,727","238,321","251,199",,0.01979566,0.027100194,-0.052318163,-0.03176399,0.028457538,0.054037809,"397,327","411,907","434,768","450,752","468,620","461,789","465,875",,0.036694492,0.055502107,0.036763901,0.039640549,-0.014576516,0.008848294,"109,274","113,079","121,203","121,532","126,881","126,087","129,311",,0.034826461,0.071846027,0.002714896,0.044007715,-0.006255727,0.025568949
Kansas,"243,873","252,782","255,913","255,260","262,143","259,051","263,407",,0.036530246,0.012385711,-0.002552988,0.026966831,-0.011797709,0.016816859,"243,873","253,122","255,727","233,124","227,102","234,403","248,507",,0.037924512,0.01028916,-0.088386433,-0.025829572,0.032144717,0.060170455,"285,585","306,387","310,536","323,194","355,196","334,401","336,603",,0.07284231,0.013540704,0.040760764,0.099018671,-0.058545823,0.006586527,"88,299","96,268","97,704","101,747","114,283","106,095","105,197",,0.090246882,0.014911866,0.041384967,0.1232007,-0.07164525,-0.00846321
Kentucky,"332,221","340,251","355,164","355,621","356,242","360,897","372,811",,0.024172258,0.043828249,0.001286321,0.001747537,0.013067351,0.033010716,"332,221","341,994","360,569","347,043","343,008","359,338","384,671",,0.029418451,0.054313909,-0.037513898,-0.011625584,0.047608111,0.070497149,"350,848","349,880","365,198","353,301","329,241","335,478","346,950",,-0.002757513,0.043780309,-0.032576221,-0.068100993,0.018944369,0.034193787,"115,477","113,630","116,748","109,051","99,674","101,306","103,379",,-0.0159912,0.027435261,-0.065926225,-0.085985966,0.016374796,0.020460683
Louisiana,"500,094","472,753","478,663","468,688","476,095","480,485","490,340",,-0.054671162,0.012502076,-0.020839124,0.015802791,0.009221746,0.020509168,"500,094","471,731","466,861","357,685","335,408","373,146","421,447",,-0.056714195,-0.010323241,-0.233852553,-0.062279283,0.112513463,0.129440611,"835,513","761,859","780,094","762,911","786,338","824,518","885,892",,-0.088153799,0.023935216,-0.022027153,0.030707673,0.048553663,0.074436584,"210,239","236,329","236,012","218,826","217,531","222,195","233,898",,0.124094342,-0.001340748,-0.072819779,-0.005915763,0.021437583,0.052671809
Maine,"53,700","55,015","56,879","56,792","54,579","55,460","56,239",,0.024486842,0.033883055,-0.001519928,-0.038972669,0.016138299,0.014059657,"53,700","55,659","58,468","53,964","50,224","53,457","56,863",,0.036484021,0.050473897,-0.077033273,-0.069299897,0.064364821,0.063716228,"74,635","72,529","73,622","73,613","73,525","73,439","74,503",,-0.028217463,0.015063128,-0.000115974,-0.001197161,-0.001170683,0.014491266,"14,545","14,229","14,484","14,142","14,129","14,398","14,464",,-0.021740833,0.017895101,-0.023574221,-0.000947073,0.019054729,0.004564235
Maryland,"218,994","217,413","221,063","220,211","219,390","221,294","230,765",,-0.007220297,0.016787895,-0.003854815,-0.003727077,0.008677724,0.04280053,"218,994","219,486","226,781","218,402","214,865","223,048","240,477",,0.002243221,0.033241024,-0.036951372,-0.016194574,0.038086092,0.078142318,"164,563","155,457","161,266","164,399","164,857","165,380","176,198",,-0.055336474,0.037368591,0.019424946,0.002786283,0.003173076,0.065412858,"23,538","22,780","23,513","22,944","23,035","23,268","24,078",,-0.032215947,0.032189221,-0.024200591,0.003976613,0.010110456,0.034810001
Massachusetts,"266,876","269,328","271,564","275,089","271,442","271,909","276,677",,0.009187279,0.00830137,0.012979155,-0.013255035,0.001718133,0.017537543,"266,876","271,218","275,960","262,601","255,048","266,038","282,507",,0.016267114,0.01748705,-0.048411605,-0.028759778,0.043089748,0.06190328,"155,435","158,415","159,554","162,868","164,379","163,232","165,763",,0.019168469,0.007195237,0.020765772,0.009278453,-0.006978791,0.015504765,"18,969","19,818","21,336","22,389","20,310","20,664","22,586",,0.044764145,0.076622509,0.049325336,-0.092831579,0.017409159,0.093038308
Michigan,"587,691","595,181","608,521","610,134","613,298","621,755","635,574",,0.012744898,0.022414134,0.002649576,0.005186092,0.0137889,0.022226667,"587,691","599,100","619,627","601,444","600,470","625,552","659,085",,0.019413767,0.034262747,-0.029344376,-0.00161931,0.041770757,0.053604051,"380,458","395,063","405,342","410,396","414,093","420,844","439,085",,0.038387424,0.026019131,0.012468438,0.009007428,0.016304715,0.043341971,"104,151","112,076","113,058","112,551","113,923","117,335","120,699",,0.076082243,0.008770808,-0.004492137,0.012195033,0.029948033,0.028667626
Minnesota,"330,586","320,559","323,801","325,732","327,664","330,732","336,087",,-0.030329874,0.010112065,0.005964188,0.005931325,0.00936226,0.016192414,"330,586","322,234","327,308","312,990","308,064","320,154","336,835",,-0.025264544,0.015746343,-0.043744283,-0.015737258,0.039243607,0.052102364,"466,165","432,110","430,704","445,571","459,713","461,479","464,726",,-0.073053138,-0.003253456,0.034517141,0.031739595,0.003842377,0.00703605,"171,806","161,027","163,349","162,754","168,978","169,801","172,617",,-0.062736149,0.014418563,-0.00364511,0.038240376,0.00487565,0.016581494
